,tweets,cleaned_tweets
44,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
45,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
46,RT @TomJoyceSports: @LukeGofannon So true. People would be shocked if they realized how much money college sports loses and how at some sch…,rt tomjoycesports lukegofannon so true people would be shocked if they realized how much money college sports loses and how at some sch…
47,"RT @bocxtop: facebook firing 11,000 people is so crazy cuz all they had to do was not invest $60 billion in that wii sports ass world he sw…",rt bocxtop facebook firing 11000 people is so crazy cuz all they had to do was not invest 60 billion in that wii sports ass world he sw…
48,"RT @PVLph: HD SPIKERS GET THE W!

#PVL2022

--

Livestream Cignal vs Petro Gazz on https://t.co/CRkUGmWScp or watch them live on One Sports…","rt pvlph hd spikers get the w

pvl2022



livestream cignal vs petro gazz on httpstcocrkugmwscp or watch them live on one sports…"
49,"RT @IExpressSports: #INDvsENG #T20WorldCup

The Indian team has got done with their huddle as the two England openers, Jos Buttler and Alex…","rt iexpresssports indvseng t20worldcup

the indian team has got done with their huddle as the two england openers jos buttler and alex…"
50,"#SPORTS | T20 World Cup: India sets a target of 169 Runs for England
 https://t.co/gFNeDmH6cY via @News Live… https://t.co/0aFICggtO6",sports  t20 world cup india sets a target of 169 runs for england httpstcogfnedmh6cy via news live httpstco0aficggto6
51,"RT @HonAyubSavula: Kakamega County CEC Nominees:
1 Public service -L. omuhaka
2 Finance - L. imbai 
3 Communication, ICT- Rachael
4 Agricul…","rt honayubsavula kakamega county cec nominees
1 public service l omuhaka
2 finance  l imbai 
3 communication ict rachael
4 agricul…"
52,"RT @bocxtop: facebook firing 11,000 people is so crazy cuz all they had to do was not invest $60 billion in that wii sports ass world he sw…",rt bocxtop facebook firing 11000 people is so crazy cuz all they had to do was not invest 60 billion in that wii sports ass world he sw…
53,"RT @CricketNDTV: Alex Hales and Jos Buttler at the crease! England's chase starts

#INDvENG #T20WorldCup #India #England #ENGvIND 

Live sc…","rt cricketndtv alex hales and jos buttler at the crease englands chase starts

indveng t20worldcup india england engvind 

live sc…"
54,"RT @FutureImaging: Available now: ""Live to Play Softball"" 
Shop the shirt: https://t.co/hwTCpVyHV9
Browse the Amazon store - ""Live to Play…","rt futureimaging available now live to play softball 
shop the shirt httpstcohwtcpvyhv9
browse the amazon store  live to play…"
55,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
56,"RT @jespow: 9/ Red flags:
* acting like you know everything after showing up to the battle 8 years late
* 9 figs buying political favor
* b…",rt jespow 9 red flags acting like you know everything after showing up to the battle 8 years late 9 figs buying political favor b…
57,"@WalkandTalkSco1 There is a small charge per month of £20 which cover the 8-10 hour of time there for the group.
Pl… https://t.co/RPckhVtYb3","walkandtalksco1 there is a small charge per month of £20 which cover the 810 hour of time there for the group
pl httpstcorpckhvtyb3"
58,@MikeWiseguy There are gonna be a lot of empty head space in the DC area when Dan is gone. Wouldn't be surprised if… https://t.co/Czgxc4NTZZ,mikewiseguy there are gonna be a lot of empty head space in the dc area when dan is gone wouldnt be surprised if httpstcoczgxc4ntzz
59,"#INDvsENG #T20WorldCup

The Indian team has got done with their huddle as the two England openers, Jos Buttler and… https://t.co/uDe7jikLmF","indvseng t20worldcup

the indian team has got done with their huddle as the two england openers jos buttler and httpstcoude7jiklmf"
